pitch_type,pitcher,batter,pitcher_ID,batter_ID,speed,pitch_result,pa_result,pa_result_detail,description,balls,strikes,outs,inning,inning_topbot,score_away,score_home,outs_on_play,runs_scored,stands,throws,on_1b,on_2b,on_3b,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,on_1b_id,on_2b_id,on_3b_id,pos_1_id,pos_2_id,pos_3_id,pos_4_id,pos_5_id,pos_6_id,pos_7_id,pos_8_id,pos_9_id,px,pz,pfx_x,pfx_z,pfx_x_raw,pfx_z_raw,x0,z0,sz_top,sz_bot,y0,vx0,vy0,vz0,ax,ay,az,game_date,home,away,home_alias,away_alias,stadium,referee,pa_number,pitch_number,pitchID,gameID,wpa_rt,after_we_rt
슬라이더,감보아,임지열,55532,64340,141,볼,,,,2,2,2,1,T,0,0,0,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-1.429,1.223,-2.828,-1.699,-17.149,-33.288,1.558,6.066,3.292,1.597,50,-6.576,-127.042,-5.193,-4.631,25.571,-34.955,20250603,LT,WO,롯데,키움,사직,박종철,3,5,250603_170603,20250603WOLT02025,,
직구,감보아,임지열,55532,64340,154,파울,,,,3,2,2,1,T,0,0,0,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,-0.342,2.27,5.516,10.596,-4.106,-9.415,1.264,6.407,3.292,1.597,50,-6.338,-138.254,-9.147,10.668,31.064,-11.682,20250603,LT,WO,롯데,키움,사직,박종철,3,6,250603_170625,20250603WOLT02025,,
직구,감보아,임지열,55532,64340,155,헛스윙,삼진,삼진,임지열 : 삼진 아웃;,3,2,2,1,T,0,0,0,0,우,좌,,,,감보아,유강남,정훈,고승민,손호영,전민재,레이예스,장두성,윤동희,,,,55532,61102,60523,69517,50150,68205,54529,68507,52591,0.281,2.65,4.441,10.052,3.372,-10.147,1.263,6.278,3.292,1.597,50,-4.264,-137.774,-7.606,8.633,27.321,-12.631,20250603,LT,WO,롯데,키움,사직,박종철,3,7,250603_170650,20250603WOLT02025,-1.1,44.9
직구,김연주,장두성,54368,68507,141,파울,,,,0,0,0,1,B,0,0,0,0,좌,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-0.572,2.94,-7.657,5.039,-6.86,-23.566,-1.248,4.99,3.234,1.568,50,4.142,-125.669,-0.215,-12.218,25.976,-24.133,20250603,LT,WO,롯데,키움,사직,박종철,4,1,250603_170922,20250603WOLT02025,,
슬라이더,김연주,장두성,54368,68507,126,볼,,,,0,1,0,1,B,0,0,0,0,좌,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-1.384,4.104,1.743,-4.047,-16.613,-45.192,-1.499,5.333,3.234,1.568,50,-0.251,-111.974,5.653,2.257,16.462,-37.415,20250603,LT,WO,롯데,키움,사직,박종철,4,2,250603_170946,20250603WOLT02025,,
직구,김연주,장두성,54368,68507,139,볼,,,,1,1,0,1,B,0,0,0,0,좌,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-1.039,3.082,-6.254,5.711,-12.47,-22.536,-1.407,5.044,3.234,1.568,50,2.928,-124.829,-0.208,-9.992,22.173,-23.05,20250603,LT,WO,롯데,키움,사직,박종철,4,3,250603_171008,20250603WOLT02025,,
직구,김연주,장두성,54368,68507,142,볼,,,,2,1,0,1,B,0,0,0,0,좌,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-2.018,2.817,-8.71,6.576,-24.211,-20.432,-1.573,5.06,3.234,1.568,50,1.728,-126.416,-1.355,-14.255,23.03,-21.412,20250603,LT,WO,롯데,키움,사직,박종철,4,4,250603_171027,20250603WOLT02025,,
직구,김연주,장두성,54368,68507,140,볼,볼넷,볼넷,장두성 : 볼넷;,3,1,0,1,B,0,0,0,0,좌,우,,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.957,1.822,-6.279,7.838,11.486,-19.216,-1.241,4.902,3.234,1.568,50,7.47,-124.825,-3.663,-10.031,22.181,-19.652,20250603,LT,WO,롯데,키움,사직,박종철,4,5,250603_171048,20250603WOLT02025,2.8,57.9
직구,김연주,고승민,54368,69517,141,볼,,,,0,0,0,1,B,0,0,0,0,좌,우,장두성,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,68507,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,-1.598,3.302,-6.364,5.338,-19.174,-22.581,-1.366,5.054,3.457,1.677,50,1.485,-126.897,0.324,-10.322,27.26,-23.517,20250603,LT,WO,롯데,키움,사직,박종철,5,1,250603_171130,20250603WOLT02025,,
직구,김연주,고승민,54368,69517,140,스트라이크,,,,1,0,0,1,B,0,0,0,0,좌,우,장두성,,,김연주,김건희,최주환,송지후,오선진,어준서,이형종,박수종,임지열,68507,,,54368,53312,76267,54394,78756,55392,78135,52305,64340,0.749,2.822,-7.312,6.057,8.983,-21.77,-1.173,5.075,3.457,1.677,50,7.144,-125.187,-1.09,-11.768,21.902,-22.425,20250603,LT,WO,롯데,키움,사직,박종철,5,2,250603_171153,20250603WOLT02025,,
